links,dates,places,scores_exterieur,scores_domicile,domiciles,exterieurs,vainqueurs
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lille-om-live/477427,2021-03-03 21:00:00,Lille,0,2,Lille,Marseille,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/bordeaux-psg-live/477425,2021-03-03 21:00:00,Bordeaux,1,0,Bordeaux,Paris-SG,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/strasbourg-monaco-live/477434,2021-03-03 21:00:00,Strasbourg,0,1,Strasbourg,Monaco,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/montpellier-lorient-live/477430,2021-03-03 21:00:00,Montpellier,1,1,Montpellier,Lorient,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nantes-reims-live/477431,2021-03-03 21:00:00,Nantes,2,1,Nantes,Reims,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/reims-ol-live/477443,2021-03-12 21:00:00,Reims,1,1,Reims,Lyon,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-asse-live/477435,2021-03-13 13:00:00,Angers,1,0,Angers,Saint-Étienne,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/om-brest-live/477439,2021-03-13 17:00:00,Marseille,1,3,Marseille,Brest,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-montpellier-live/477441,2021-03-14 13:00:00,Nîmes,1,1,Nîmes,Montpellier,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lens-metz-live/477437,2021-03-14 15:00:00,Lens,2,2,Lens,Metz,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/rennes-strasbourg-live/477444,2021-03-14 15:00:00,Rennes,0,1,Rennes,Strasbourg,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-nice-live/477438,2021-03-14 15:00:00,Lorient,1,1,Lorient,Nice,ex-aequo
